,Experiment name:,WILLIAMP2;
Duration:,2 0;
Rate:,100 per second;
Sensors:,Blood pressure (ID 3  Exp 1);
Range:,mm Hg;
Units:,mm Hg;
Time;
'0:0:1.36;16.71
'0:0:1.37;16.59
'0:0:1.38;16.47
'0:0:1.39;16.83
'0:0:1.4;17.44
'0:0:1.41;18.89
'0:0:1.42;20.1
'0:0:1.43;21.92
'0:0:1.44;23.25
'0:0:1.45;25.07
'0:0:1.46;26.28
'0:0:1.47;27.98
'0:0:1.48;28.95
'0:0:1.49;30.16
'0:0:1.5;30.76
'0:0:1.51;31.37
'0:0:1.52;31.49
'0:0:1.53;31.13
'0:0:1.54;30.64
'0:0:1.55;29.79
'0:0:1.56;29.19
'0:0:1.57;28.58
'0:0:1.58;28.34
'0:0:1.59;27.86
'0:0:1.6;27.61
'0:0:1.61;27.25
'0:0:1.62;27.01
'0:0:1.63;26.64
'0:0:1.64;26.52
'0:0:1.65;26.16
'0:0:1.66;25.92
'0:0:1.67;25.8
'0:0:1.68;25.55
'0:0:1.69;25.8
'0:0:1.7;26.64
'0:0:1.71;28.58
'0:0:1.72;30.28
'0:0:1.73;32.82
'0:0:1.74;34.64
'0:0:1.75;37.18
'0:0:1.76;38.76
'0:0:1.77;40.69
'0:0:1.78;41.91
'0:0:1.79;43.24
'0:0:1.8;43.84
'0:0:1.81;44.21
'0:0:1.82;44.21
'0:0:1.83;43.6
'0:0:1.84;42.88
'0:0:1.85;41.66
'0:0:1.86;40.94
'0:0:1.87;40.21
'0:0:1.88;39.73
'0:0:1.89;39
'0:0:1.9;38.51
'0:0:1.91;37.91
'0:0:1.92;37.42
'0:0:1.93;37.06
'0:0:1.94;36.7
'0:0:1.95;36.33
'0:0:1.96;36.09
'0:0:1.97;35.73
'0:0:1.98;35.61
'0:0:1.99;35.49
'0:0:2.0;35.49
'0:0:2.01;37.06
'0:0:2.02;38.51
'0:0:2.03;41.3
'0:0:2.04;43.36
'0:0:2.05;46.51
'0:0:2.06;48.69
'0:0:2.07;51.35
'0:0:2.08;53.05
'0:0:2.09;55.11
'0:0:2.1;56.2
'0:0:2.11;57.41
'0:0:2.12;57.9
'0:0:2.13;57.9
'0:0:2.14;57.65
'0:0:2.15;56.81
'0:0:2.16;56.32
'0:0:2.17;55.84
'0:0:2.18;55.59
'0:0:2.19;55.23
'0:0:2.2;55.11
'0:0:2.21;54.99
'0:0:2.22;54.87
'0:0:2.23;54.75
'0:0:2.24;54.62
'0:0:2.25;54.38
'0:0:2.26;54.38
'0:0:2.27;54.14
'0:0:2.28;54.14
'0:0:2.29;53.9
'0:0:2.3;54.02
'0:0:2.31;55.84
'0:0:2.32;57.77
'0:0:2.33;61.04
'0:0:2.34;63.47
'0:0:2.35;66.98
'0:0:2.36;69.4
'0:0:2.37;72.55
'0:0:2.38;74.37
'0:0:2.39;76.79
'0:0:2.4;78
'0:0:2.41;79.21
'0:0:2.42;79.46
'0:0:2.43;79.34
'0:0:2.44;78.85
'0:0:2.45;78.12
'0:0:2.46;77.76
'0:0:2.47;77.28
'0:0:2.48;76.91
'0:0:2.49;76.55
'0:0:2.5;76.31
'0:0:2.51;76.06
'0:0:2.52;75.94
'0:0:2.53;75.58
'0:0:2.54;75.58
'0:0:2.55;75.34
'0:0:2.56;75.1
'0:0:2.57;74.97
'0:0:2.58;74.85
'0:0:2.59;74.73
'0:0:2.6;74.73
'0:0:2.61;76.43
'0:0:2.62;78.37
'0:0:2.63;81.76
'0:0:2.64;84.06
'0:0:2.65;87.57
'0:0:2.66;90
'0:0:2.67;93.27
'0:0:2.68;95.32
'0:0:2.69;97.87
'0:0:2.7;99.2
'0:0:2.71;100.41
'0:0:2.72;100.9
'0:0:2.73;100.78
'0:0:2.74;100.41
'0:0:2.75;99.56
'0:0:2.76;99.2
'0:0:2.77;98.47
'0:0:2.78;98.23
'0:0:2.79;97.75
'0:0:2.8;97.51
'0:0:2.81;97.26
'0:0:2.82;97.02
'0:0:2.83;96.78
'0:0:2.84;96.66
'0:0:2.85;96.41
'0:0:2.86;96.29
'0:0:2.87;96.17
'0:0:2.88;96.05
'0:0:2.89;96.05
'0:0:2.9;96.17
'0:0:2.91;96.17
'0:0:2.92;96.41
'0:0:2.93;98.6
'0:0:2.94;100.78
'0:0:2.95;104.53
'0:0:2.96;107.2
'0:0:2.97;110.83
'0:0:2.98;113.37
'0:0:2.99;116.76
'0:0:3.0;118.82
'0:0:3.01;121.37
'0:0:3.02;122.58
'0:0:3.03;123.43
'0:0:3.04;123.55
'0:0:3.05;123.06
'0:0:3.06;122.58
'0:0:3.07;121.85
'0:0:3.08;121.37
'0:0:3.09;120.76
'0:0:3.1;120.52
'0:0:3.11;119.91
'0:0:3.12;119.79
'0:0:3.13;119.43
'0:0:3.14;119.31
'0:0:3.15;119.07
'0:0:3.16;118.82
'0:0:3.17;118.7
'0:0:3.18;118.58
'0:0:3.19;118.34
'0:0:3.2;118.22
'0:0:3.21;118.1
'0:0:3.22;117.86
'0:0:3.23;118.1
'0:0:3.24;119.43
'0:0:3.25;122.7
'0:0:3.26;125.24
